Code	Gallic acid	3-Hydroxytyrosol	Vanillic acid	Epicatechin	Rosmarinic acid	4-Hydroxybenzoic acid	Chlorogenic acid	Caffeic acid	Syringic acid	p-Coumaric acid	Resveratrol	Salicylic acid	Quercetin 3-glucoside	Myricetin	Quercetin dihydrate	5,7-Dimethoxycoumarin	Genistein	Kaempferol	Caffeic acid 1,1-dMAE	Chrysin	Caffeic acid PhEE
Valoff2	0.0	0.7502802582241294	0.05424910801167695	0.5577593172406827	0.0794598394170701	0.17868023066042865	0.44206782303644515	0.05426821947412655	0.027089261644451103	0.11817759181775916	0.024343234163907487	0.0189315399052641	0.07105073413738856	0.07940361018192087	0.42106740915791196	0.057813988366672744	0.062103206902165066	0.08412765285165096	0.03479012955837188	0.17833777562393988	0.024201127819548876
Valoff3	0.06805880631948506	0.2527349337044339	0.2962482430533031	0.34966165033834967	0.08956804973912699	0.06253400065281252	0.9870395634379263	0.2832873094008885	0.036393589935599824	0.2504881450488145	0.03764772699809072	0.00012065421396013936	0.01115954378605139	0.08950945290410627	0.10316104728702122	0.1368638657505928	0.068831732595366	0.040681447153615255	0.013979595438980481	0.32444875212018415	0.010060663021189338
Pruavi1	0.029147162083089522	0.3915497313386679	0.049951346091469354	0.015301484698515302	0.00042571306939123026	0.025160483081275158	0.03132917559929839	0.0020410613519029892	0.0023588437921222105	0.0006508600650860064	0.0	0.00024354276521583695	0.0003047981122181437	0.0003647044521394033	0.004141416504831652	0.0	0.0006511476477291225	0.0011585654852809524	0.0006530871606594417	0.004361521686455052	0.0007689678742310323
Pruavi2	0.0	0.606813818341129	0.19172342955995245	0.10488839511160489	0.03612620907461859	0.15229572407790226	0.17311440265055544	0.20098451194621203	0.17622060805751086	0.22584844258484424	0.04708533726466394	0.02347618196442935	0.02089997378080755	0.03606260367606402	0.013828119516132805	0.008078474291157454	0.011720657659124207	0.002001158565485281	0.0019769124863204717	0.0	0.0006621667805878333
Pruavi3	0.06198800468110005	1.0	0.12325656827765165	0.13886223613776386	0.007643034641163485	0.13600261125013596	0.3015981290196843	0.12324408692520111	0.13087838849782835	0.09642026964202695	0.014518935640573265	0.00479935651085888	0.011261143156790769	0.007388206320759527	0.005428297339666347	0.0	0.001492213359379239	0.00139554478908842	0.002665301655664208	0.005088441967530894	0.0021360218728639782
Ficcar1	0.14668665886483323	0.03641424098341644	0.014569142610011895	0.04036208463791536	5.940182363598561e-05	0.03982156457403982	0.019538101734554666	0.014587585544483132	0.0033136138984573914	0.009112040911204091	0.00845880561664693	5.1389757797837114e-05	0.0021827477713686418	0.0	0.0013336765015559558	0.0	0.0	0.0012112275527937227	0.0	0.0	0.001260252904989747
Ficcar2	0.28364540667056753	0.0	0.005514109633473889	0.0027648722351277643	0.0004950151969665469	0.014144271570014142	0.0	0.00552287189338456	0.0	0.0	0.002392633588708703	0.00018544999553132536	0.0012126376507603565	0.00043529241061799755	0.0009827090011464937	0.0005593725299446708	0.0020077052471647945	0.002290799936805519	0.003265435803297208	0.0	0.0027127477785372526
Ficcar3	0.04746928028086599	0.028322187431546124	0.04103146286084983	0.033494091505908485	0.0020196620036235114	0.032015014688282016	0.03517832781134282	0.04100132068675712	0.004174779092406769	0.0030683403068340305	0.0009123426057954902	0.0	0.000730859989512323	0.001952933517907773	0.001076300334589017	0.00023915202367199692	0.0005968853437516957	0.0026857654431512983	0.0013767783386874715	0.0033922946450205957	0.0013243335611756665
Prudom1	0.08272381509654768	0.8129421315087556	0.13809601037950048	0.11854863145136854	0.00580157810844793	0.0802143401153302	0.3848664977587215	0.06339296434145757	0.03727347611202636	0.04351464435146443	0.020512603620368806	0.0037380462954687637	0.012926061877294177	0.005741153956258995	0.0025971595030300195	0.00029589996149247073	0.0023332790710293557	0.0007372689451787878	0.0008119461997387652	0.0	0.000875768967874231
Prudom2	0.06070801638385019	0.07793111446132436	0.02075900097307817	0.011324613675386326	0.0	0.06509084974431507	0.04604365620736699	0.020770800816424545	0.0035757076531376364	0.0	0.0013896609227348527	0.005527750469210832	0.006456476140534871	0.020388155340567295	0.007487306675401857	0.00029184653736243695	0.0	0.001500868924113961	0.0	0.0	0.0
Prudom3	0.022820362785254532	0.1392915587511436	0.0	0.0	0.00010890334333264032	0.0	0.050526213213798486	0.0	0.0009922120712895013	0.01292422129242213	4.833603209512534e-05	0.0024354276521583703	0.0	4.705863898572945e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
